Konkani_sentences,Sentiment
एक गँग सैनिकाचो आसा आनी दुसरो मास्टराचो म्हणजेच सतबीर गुज्जराचो आसा.,Negative
कोथमिर्‍यो ८ १० चाबतकच तोंडाच्यो घाणी पयस जाता.,Neutral
ह्या उत्तेजनाच्या वेगान गू भायर सरता.,Neutral
गोड्यामुताक लागून कुडींत चरबेचें प्रमाण वाडटा.,Negative
हाच्या विकासांत देवूळ मार्गदर्शक म्हत्वाची भुमिका वटयतले.,Positive
रक्ताळिल्ल्या बिकाचो उपचार करचे पयलीं दुयेंतीक मलावरोध काबार करपाची गरज आसता.,Negative
कोशी टप्पु वन्य प्राणी सुरक्षीत क्षेत्र : हें उदेंत नेपाळांत आसा.,Neutral
सुर्यनमस्कार ११ ते २१ फावटीं तांकी प्रमाणें परत करूं येता.,Neutral
टसकेनींत आमी संतूर मियान नांवाचे सुवातेर वचपाचें थारायलें.,Neutral
हे तरेन सगळ्या श्रेणीं कडल्यन मेळिल्ल्या धनाक सवंग मंडळींत वांटटात.,Negative
सांसवांचें झाड २ ते ४ फूट मेरेन लांब आनी पाचवें आसतां.,Negative
इतले गर्देचो अदमास लेगीत आकांत करता.,Neutral
१९५२त तो राज्य सभे खातीर निवडून आयलो आनी सेगीत तीन खेपो सदस्य उरलो.,Neutral
ह्या संदर्भांत चण्याचें जिनोम विश्लेशण भारता खातीर खूब म्हत्वाचें आसा.,Positive
"हरवी पोपाय अजीर्ण, फिग्दाचीं दुयेंसां, बिकाचें, बी दुयेंसांनी फायद्याक पडटा.",Negative
हाच्या फळांक ताजे पेय पदार्थ आनी रूचीक चटणी आदीच्या रुपांत प्रयोग करतात.,Positive
ताचो व्हडलो भाव हैदर खाँ आशिल्लो जो गायनान खूब कुशळ आशिल्लो.,Positive
अजायबदेव आनी गरीब नाथ हे दोनूय संत तांचे भविश्यवाणी आनी अजापां खातीर फामाद आशिल्ले.,Positive
हळडीच्या आंकुरणीचो काळ रोंप्या रोपणेच्या एका म्हयन्या उपरांत जाता.,Neutral
कर्नाटकाचो जल्म  कुरूनाडू  सावन जालो जाचो अर्थ आसा  भव्य उच्च भुमी .,Positive
"संत संन्याशांचे विश्वासूपण चड आशिल्लें, तशेंच राजांचे अपेक्षेत संतांचो चड भोवमान जातालो.",Positive
हातूंत दोन जुंवे आसात जांचेर प्राचीन आनी इतिहासीक देवळां आसात.,Neutral
मोतिबिंदूचे दुयेंसाचो दुयेंती दोळे उगडूंक शकना.,Positive
घरचीं कामां निपटोवपा वेळार उदकाच्या संपर्कांत रावचेंच पडटा.,Negative
रोसाक हळू हळू कमी तापमानाचेर खतखतावन शिजयतात.,Negative
हांगा वट्ट 100 ल्हान व्हड रिसोर्टां आसात.,Neutral
"पिराय वाडपा वांगडा लोकांची भूक उणी जाता, ह्या वेळार त्या लोकां खातीर दूद खूब उपेगी आसता.",Positive
सुरवातीक सुकी खोंकली येता आनी पातळ फेंसाचें धरकल येता.,Negative
ल्हान ल्हान समुह वा समुदायूच सामाजीक जिणेंत लोकांक प्रभावीत करतात.,Negative
खंयचेय बायलेक खंयचेंय कश्ट आनी हांतल्यान कोणाकूय आनीक खंयचेंय कश्ट जाता.,Neutral
खाणां जेवणांची टाळणी वयर दिल्ले प्रमाणें करप खूब गरजचें.,Positive
केन्ना केन्ना ल्हानांतली ल्हान गजाल लेगीत घातांत बदलूं येता.,Negative
सगळ्यांत चड लोक नाटकाची कुशळ कला हातुंतच दिसता.,Positive
परत येतना स्वास सोडटना हळू हळू भेंड जमनीर दवरात.,Negative
न्हंयचे उजवे वटेन भरल तणाचेर चरताले.,Positive
"काळंगाचे शिरेचेर मिरयांचो पिठो, खड्याचें आनी काळें मीठ घाल्यार आंबट धेंकर येवप बंद जाता.",Negative
सरकार हांका नक्षलवादी म्हणून तांकां काबार करूंक सोदता.,Positive
चिंतपूर्णी मंदिरा लागींच पुर्विल्लें तळेंय पळोवपा सारकिलें स्थळ.,Neutral
रक्ताळिल्ल्या बिकांत फोडांनी सूज आयिल्ल्यान दुयेंतीक खूब त्रास जातात.,Negative
पं. जसराजाचो सगल्यांत पयलो सार्वजनीक कार्यक्रम १९५२ ह्या वर्सा नेपाळ दरबारांत जालो.,Positive
बिहाराचे सवाय धान्य उत्तर प्रदेश आनी पंजाब हांगच्या रायस मिलां मेरेन पावता.,Positive
पान सजोवणेच्या वेळार ताका सुवाते प्रमाणें ल्हान वा व्हड करूंक शकता.,Neutral
इल्ल्याश्या प्रमाणांत कोथंबीर आनी आलें लेगीत घालूंक जाय.,Negative
हाकाच लागून सुकणीं सावदां सोंपेपणान मेळटात.,Positive
ह्या उद्यानांतलो मुखेल उदकाचो स्रोत पद्‍म तलोवा तळें आसा.,Positive
देखून तुमका ओपेरासांवाची गरज तेन्ना चड पडटा जेन्ना ऑर्थरायटीस मध्यम पांवड्याचें आसता.,Positive
हें दुयेंस ताळ्याक थंडसाण लागिल्ल्यानूच जाता.,Negative
हे स्थितींत दुयेंती खातीर हें वखद बरें.,Positive
15 किलो मिटर रानांतलो रस्तो पार करतकूच शेतां दिसूंक लागतात.,Neutral
"हाणें केंस काळे उरतात, पडनात आनी दाट जातात.",Negative
देवळांचें नगर कांचीपुरम वेव्हाराचे नदरेनूय फाटीं ना.,Neutral
"ह्या घाताक लागून शिरांक घटसाण, गोडेंमूत मोतीबिंदू आनी वेळा पयलींच जाणटेपणाची स्थिती तयार जावप.",Negative
"शिंया दिसांनी जाल्यार सोलंगाचें रूप वेगळेंच आसता , शिंया परस सामकेंच वेगळें.",Positive
"जरी सूर्य देवळाचो चडसो भाग कोसळ्ळा , तरी लेगीत जें वाटावलां तें अपरूप आसा.",Positive
सादारणपणान खोंकलेचे आताक स म्हयने ते 2 वर्सांच्या पिराये मेरेन येता.,Negative
हे तरेन पुराय जीण संगीत शास्त्राची कठीण समस्या सोडोवपांत उरली.,Negative
कांय बाबतींत प्राप्त जावपी तेलाचे प्रमाण लेगीत खूब उणें आसता.,Positive
हाँगकाँगाचें क्षेत्रफळ उणें आसा आनी इमारतींची संख्या खूब चड आसा.,Neutral
हांचे बाबतींत समजले आनी आयकले उपरांत तीं पळोवपाची इत्सा जाता.,Neutral
सक्रीय ज्वालामुखीच्या विस्फोटांत चड विनाश जावपाचो दुबाव उणो आसता.,Negative
तो स्वताचो वेवसाय सोडून श्रिमतीच्या संगीत संमेलनांनी वता.,Positive
स्वास भायर सोडून उजवो पांयूय फाटल्यान व्हरात.,Positive
संगडाह फामाद पर्यावरण रक्षक सर्गेस्त किंकरी देवी खातीर खास फामाद आसा.,Positive
२०११ वर्सा ताणें अमेरिकेंत ऑपरेशन केल्लें आनी बरो जाल्लो.,Positive
हाचे शिवाय आमचे ब्लॅक ऐंड व्हायट सिनेमा तर गांवांच्या काणयांचेर तयार जाताले.,Neutral
कोणार्क रस्त्या मार्गान देशांतल्या मुखेल नगरां कडेन जोडिल्लें आसा.,Neutral
चित्रगूप्त देवूळ खजुराहोचें एकमेव सूर्य देवूळ.,Neutral
तुमच्यांनी तातूंत एक रात वा चड वेळा खातिरूय रावूं येता.,Positive
"जे लोक स्वासा कडेन जोडिल्ल्या कागाळीन पिडेस्त आसात, तांणी रूम हिटराचो वापर करचो न्हय.",Negative
"नाटकांत अंकाचें विभाजन आसता, सवंगांत अशें कांय आसना.",Negative
एक म्हण आसा की सादूरताय उपचारा परस चड बरी आसता.,Positive
आमच्या देशांत रान आनी जंगली वाठाराचें संरक्षण सामकें गरजेचें जालां.,Positive
रशियी आनी पारशी खाणांची रूच घेवचे खातीर कोलविट्स प्लाट्जाक वचात.,Neutral
म्हटल्यार ह्या पिकांक दर वर्सा खंयच्याय खास रुतूंत रोयतात.,Positive
गुदडींत तांबड्या बिहारा संदर्भांत ही गजाल खरी थरता.,Positive
ह्या स्थितींत ल्हान शेतकारांक तिगप चड शक्य जातलें.,Neutral
कांय घरगुती सुचोवण्यो लेगीत उचक्यो आडावपांत फायद्याच्यो सिद्ध जाल्यात.,Positive
"ट्रॅकोमा दुयेंस एका दुसर्‍या कडेन म्हेळ्या हातांनी, दुशीत तुवाल्यान बी पसरत वता.",Negative
चमेलीचे रोंपे जून सावन डिसेंबरा मेरेन केन्नाय लावपाक शकतात.,Neutral
"आमचे देशांत पी.टी.आय, यू.एन.आय, भाशा आनी यूनीवार्ता मुखेल खबर एजेंसी आसा.",Positive
हिडन लेकाचें दर्शन घेवपा खातीर ४०० मिटरांचो प्रवास पुराय करचो पडटा.,Negative
भारताचे पयस दक्षीणेंत आशिल्लें कन्याकुमारी एक वेळे वयलें शार.,Negative
देखून ल्हान भुरग्यांकूच फळां तोडपा खातीर झाडांचेर चडयतात.,Negative
तणावाचीं कारणां सोदून काडून तीं पयस करपाचो प्रामाणीकपणान येत्न करात.,Positive
विशाळ नेटवर्क आसा आनी अत्याधुनीक उपकरणांचो सुद्दा कांयच उणाव ना.,Positive
सांठवण केल्ल्यान फळांचो सुवाद आनी गुणवत्ता वाडटा.,Neutral
घडये जांग आनी तकली आदळटकच भयानक आवाज जातालो.,Neutral
थंय राजा राणयेचे भेस आनी तांचें शिंवासन लेगीत दवरलां.,Neutral
विलो झाडांचीं पानां जीं ताच्या ल्हान ल्हान जुंव्यांचेर आसात.,Negative
आयज थंय ते दुख्खी घडणुकेची याद करून दिवपी यादस्तीक आसा.,Negative
विदेशी एजण्टां कडल्यान संपर्काचो येत्न करून जाचे पसून राष्ट्रीय हितांचेर दाग लागता.,Negative
ह्या जैन देवळांची रचणूक स्वता भितर खाशेली आसा.,Positive
प्रेमचंद आपल्या खाजगी जिणेंत पुराय हिंदू परंपरेचो अनुयायी आशिल्लो.,Positive
सकाळी सगले लोक बेगीन उठून तयार जातात.,Positive
हो सिनेमा किशोर आनी तरणाट्या दर्शकांक निश्चीत पळोवंक दाखोवपाक जाय.,Neutral
"हाचें बीं, दुसर्‍या धान्यांक वांगडा मेळोवन अन्नांत खावपा खातीर वापरल्यात.",Negative
"हाच्या वांगडाच कॅलेड्रिन लोशन, सायनोपन, थिफोरिन, बीच्या मलमान फायदो करता.",Neutral
पालन घराक वा उपकरणांक संक्रमणा बगर दवरपा खातीर हाका देन वेळा नितळ करपाक जाय.,Neutral
मणिपूर चक्रवा एड्रिनल ग्लॅण्डाचो रंग चकचकीत हळडुवो आसता.,Positive
पीक पेरतकच १२० दिसां उपरांत पयले कापणे खातीर तयार जाता.,Positive
अमीर खुसरोचें थडगें लेगीत ह्या वाठारांत आसा.,Negative
मागीर दोतोर बायलेच्या पोटाक एक ल्हान कातरो घालता.,Negative
वयर दिल्लीं खंयचींय लक्षणां दिशिल्ल्यान विशेशज्ञ चिकित्सकाचो सल्लो घेयात.,Neutral
लांकडाचीं विशाळ दारां आशिल्ली खुसरो बाग फातरांच्या वणटींनी घेरल्या.,Positive
"भुरग्यान जाय तितलो विरोध करूं, ताचे दांत मुजरत धुयात.",Positive
वापरतात त्यो चडश्यो वस्तू सैमीक आसात वा सैमीक पद्‍दतीन केल्यात.,Positive
हांगाची खण कार्यशाळा पळोवप लेगीत खूब अपरूप आसतलें.,Positive
"हातूंत केंस काळे उरतात, गळना आनी दाट जातात.",Negative
ताका लागून ह्या नगराचें धार्मीक म्हत्व केन्नाच उणें जावंक ना.,Neutral
कापिल्ल्या फुलांचो कारबार खूब देशांनी वेगान वाडटा.,Positive
ह्या दोनूय भाजयांनी जायत्या प्रकारच्या किटां पसून खूब लुकसाण जाता.,Positive
प्रकल्प क्षेत्रांत वाळटेची कठीण समस्या आसा.,Negative
दांत दुखूंक लागिल्ल्यान कापसाक लावन दुखपी दांताचेर लावचें.,Negative
"इटली, ब्रिटन आनी पश्चिमी जर्मनी हे मक्याचे मुखेल ग्राहक देस.",Positive
आज मकर संक्रांत कुंभाचें पयलें शाही न्हाण.,Positive
तो सांगता की तूं पिलो कितें वा हांव पिलो कितें गजाल तर एकच जाता.,Neutral
हीं बिंयां कापसाच्या पिकाक रोग आनी किड्यां पसून वाचोवपाची शक्ती दिता.,Neutral
शेवटाक ऐन्द्रजालिकान मायेची रचणूक करून राज भवनाच्या एका खंडांत उजो लायलो.,Neutral
होमियोपथी उपचाराची पद्‍दत हे स्थितींत एकदम फायद्याची थारूं येता.,Negative
हें भोपाळ वसोवपाचें श्रेय परमार राजा भोजाक वता.,Neutral
"खूब उण्यो असल्यो संदी येतात, जेन्ना तो आश्रम सोडून भायर सरता.",Negative
दर्यांतली वणत सेण्ट आंजेलु कोटाची दर्याच्या ल्हारां पसून राखण करता.,Neutral
जोशीमठांत पळोवपा सारकीं जायतीं देवळां आनी इमारती आसात.,Positive
सामान्यतायेन 16 म्हालगाडयो केके रेल्वे लायनी वयल्यान दीसपट्ट्यो धांवतात.,Neutral
गुप्‍तांगाचे निवळसाणे खातीर देशांतल्यो ७२ प्रतिशें बायलो शाब्बाचो वापर करतात.,Positive
सालादाची पानां पचन जावपाक उपेगी पडटा आनी फिग्दाक ( लिवर ) फायद्याक पडटा.,Neutral
हर्निया विशीं ताच्या दोतोरान दिल्ली माहिती खरी.,Positive
कूड निरोगी आनी घटमूट करपा खातीर शिलाजीत सगल्यांत बरें रसायन.,Positive
चंदेलांतलें कोट कालिंजर पृथ्वीराज चौहान लेगीत जिखूंक शकलोना.,Negative
ब्रेन ट‌यूमर हाचें आनीक एक शक्य कारण आसा पूण हें खुबूच उणें पळोवंक मेळटा.,Positive
सिद्धार्थाच्या बुद्धत्व प्राप्तीक आनी बौद्ध मताच्या प्रसाराक 2550 वर्सां जालीं.,Neutral
राजस्थानांत स्पीड पोस्टाची सुरवात १७ नोव्हेंबर १९८६त जयपूराक जाल्ली.,Neutral
ह्या अवस्थेंत आहार क्रमान वाडिल्ल्यान हागवण लागता.,Negative
ह्वेनसांग लखनपूर आयलो जें ब्रह्मपुरीचें राजपाटण आशिल्लें.,Neutral
"खरें म्हणल्यार जिनेवा सवाय सुवात न्हय , पूण स्वित्जरलेण्डांत कांय सवाय ना.",Negative
पयलीं तेल तुमच्या तळटार घेवन दोनूय तळटां रगडात.,Positive
"हातूंत देशांतल्यान आयिल्ले शेतकार, विशेशज्ञ आनी निती निर्मात्यांनी भाग घेतिल्लो.",Neutral
कानांत कसलेंय वखद घालचे पयलीं वैजा कडल्यान योग्य सल्लो मुजरत घेयात.,Neutral
ह्या दोनूय रंगाचीं वखदां ( टॉनीक ) कुडी खातीर खुबूच बर्‍या टॉनिकाचें काम करतात.,Positive
३६ जुंव्यांचो पुंजुलो जोडून आतां ४ मुखेल जुंवीं जाल्यांत.,Positive
"समशीतोष्‍ण, वाताचीं दुयेंसां ना करपी आनी रगत तयार करपी.",Neutral
"खबर आसा, दुश्ट कावळ्यान वखदाच्या पुडींत घुंवळीचें वखद मेळयिल्लें.",Negative
गोड्यामुताच्या पिडेस्तांच्यांनी रगताचे घोळणुके कडेन संबंदीत व्यायाम नेमान करून गोड्यामुता पसून स्वताक वाटावं येता.,Neutral
बटन होल सर्जरींत दुयेंतीक ओपेरासांवा उपरांत जावपी दूख खूब उणी जाता.,Negative
हे तरेन गाजर जायत्या दुयेंसांनी संजीवनीचें काम करता.,Positive
ग्लेसियराचेर बर्फाचे जे पूल तयार जाल्ले आसतात ते लेगीत घट आसतात.,Positive
"तो भेड्डो जाता , कोणाचीच गजाल आयकना , समजूनय घेना.",Neutral
सादारणपणान दोंगरांचेर ही स्थिती दिसाचीच आसता.,Negative
जर हे वटेन लक्ष दिना जाल्यार समस्या गंभीर जाता.,Negative
डॉ. मल्होत्रा म्हणटात की शिंया दिसांनी शारिरीक हालचाल आनिकूय उणी जाल्ल्यान त्रास वाडटात.,Neutral
गुप्‍तांगांतल्यान येवपी घाण वास वा खाज बायलां खातीर चडशीं त्रासाचीं आसतात.,Neutral
प्रतिक्रिया मेळटकच वखद बंद करचें पडटलें.,Neutral
अक्रोड गरी आशिल्ल्या फळां मदीं अक्रोड दुसरें सुवातेर आसा.,Neutral
दनपारच्या वेळार हें पुराय गरमेंत हालोवपाचें आसता.,Positive
"हे पद्दतिंतल्यान संत्रां, लिंबू आनी वरगोवोट हांचे पसून परमळीत तेल प्राप्त करतात.",Neutral
आयज लडाखांत बौद्ध आनी मुस्लिम लोकांचे वाडे आसात.,Neutral
"भारताच्या विदेश सेवेचें प्रसारण १ अक्टोंबर, १९३९क पश्तो प्रसारणातल्यान सुरू जालें.",Negative
रोखडेंच विज्ञानिकांचें दळ हांगा येवन आपल्या कामाक सुरवात करतलें.,Neutral
"मातयेच्या पारखणी प्रयोगशाळां वरवीं आयज लेगीत फकत नायट्रोजन, फॉस्फोरस आनी पोटेशियमाक सुचयतात.",Neutral
आर्नो न्हंयेचे देगेर रस्त्या कुशीक ल्हानल्हान दुकानां बांदिल्लीं आसात.,Negative
वर्तमान समाजीक जिणेच्या विशमतायेचेर वायट व्यंग्य प्रहार सवंगांनी भरल्यात.,Neutral
"खरें म्हणल्यार असो कसलोच व्हड स्तनधारी जीव ना , जो मूळ रूपांत जमैकाचो आसतलो.",Positive
हांगाचे रूख सादारण एक हजार वर्सां पोरणे आसतले.,Neutral
नाल्ल शरिराचेर जावपी सुरकुत्यो आनी सदळ पडपी काती खातीर उपेगी आसता.,Positive
वैष्णो देवीचे यात्रेंत धार्मीक आनंद आपले तेंगशेर आसता.,Neutral
खूब उदक पियेयात जाका लागून सदांच 2 ते 2 ते 2.5 लिटर मूत तयार जातलें.,Neutral
संवसारीक पर्यटन उद्येगांत भारताची प्रतिशें अजून खूब उणी आसा.,Neutral
१९१९ वर्सा भुमी उपेगाक सगळ्यांत पयली वेवस्थीत रुपान अभिव्यक्त करपी नकाशाचेर विचार केलो.,Positive
कोलकाताक मुकेलपणान दोन स्टेशनां आसात सियालदा तशेंच हावडा.,Positive
एनएसजी कमांडो आनी मुंबय पुलीसाचे तत्परताय खाला गुन्यांवकारांक धरिल्ले.,Negative
जाका लागून कुडींत बर्‍या कोशाणूंची नेमान निर्मणी जायत रावची.,Positive
उण्यांत उणें दोन तीन दिसां उपरांतूच तें देगण हुपूंक जाय.,Negative
५० वर्सां परस चड पिरायेच्या लोकां मदीं बिपीएचाची समस्या सर्वसादारण आसा.,Negative
चवथ्या दिसा व्हड गाज गडगडान देवूळ उगडटात.,Neutral
पूण अशें कळ्ळां की जांबये विशीं ही समजणी योग्य न्हय.,Negative
"उदका वरी वा व्हांवणी सॅरॅब्रोस्पायनल द्रव्यूय आसूं येता, जें घातकी.",Neutral
इग्नेशिया 200 : दुयेंतीक हागतना खुबूच त्रास जातात.,Negative
"जड उखल्ल्यार, मुत्तना वा संडासा वेळार नेट  लायल्यार सूज वाडटा.",Positive
संवसारांत सगळ्यांत चड वाठारांनी कड्डणाची शेती करपी देशूय भारतूच आसा.,Positive
उन्मादाची निर्मणी कितल्याशाच कारणाक लागून जावं येता.,Positive
जिनसांनी दोन तरेचीं कार्बोहायड्रेट मेळटात सिंपल.,Negative
रोंपणेच्या तीन आठवड्या उपरांत कलमांनी कोम येवंक लागतात.,Neutral
बाजार करपा खातीर लाला आनी चौक बाजार हे आल्मोडाचे मुखेल बाजार.,Positive
फाटल्या कितल्याश्याच शेंकड्या सावन जे तरेन जाती भितरले वा वेगळ्या जातीं मदीं लग्ना जायत आयल्यांत.,Negative
सततालाक तुमच्यांनी मावण्टन बायकींग आनी नुस्तेमार लेगीत करूं येता.,Neutral
कोटा भितर आशिल्लें गणपतीचें देवुळूय पळोवपा सारकें आसा.,Neutral
180 किलोमिटर अंतराचो कोट्टायम केरळाचें एक म्हत्वाचें संसकृतीक केंद्र.,Positive
हें ईटानगरा सावन ६० किलोमिटर आनी नहरलागूना सावन ५० किलोमिटर अंतराचेर आसा.,Neutral
ताओरमिनात  दोंगराळ सुवातो आनी दर्या वेळो दोगांच्याय पर्यटनाचो आनंद घेवं येता.,Positive
अशोकाची कात खडबडीत आशिल्ल्या खातीर बायलो ताचे पसून पयस वताल्यो.,Negative
कुड्डे व्यक्‍तीच्यान आपल्या हातांचो वा पांयांचो वापर करून सांसपून अदमास घेवं येता.,Negative
महाभारतांत दुष्यंत राजान केल्ल्या शिकार भोंवडेचें विस्तारीत वर्णन जालां.,Positive
वयर सकयल दोंगुल्यो आनी व्हड देवदाराच्या झाडांनी ताका वेगळीच पिकनिकेची सुवात केल्या.,Positive
परिणाम असो जालो कि दोगांय भितर आपसांत अविश्वास वाडत गेलो.,Neutral
ताका सितार शिक्षण ताचो बापूय स्व. इमदाद खाँ हाचे कडल्यान प्राप्त जालें.,Negative
पडींग मातयेक नांगरून सारें घालून सुपीक करपा खातीर प्रयत्न चालू आसात.,Negative
कांय दिसां खातीर आपली दीसपट्टी दिसावळ बदलून पळोवपाक जाय.,Neutral
"वाटेर पानीपत , अंबाला , लुधियाना आनी जालंधर शारां लागतात.",Neutral
जायतीं घरां झुजाच्या भयानक त्रासांचें गुपीत लिपयिल्ली मोनी गवाय दितात अशें दिसता.,Positive
हांगा मेरेन की कठीण आव्हान पूर्ण करपाक लेगीत ह्या विद्यार्थ्यांक उणी गडबड केली.,Negative
मनीस एक सामाजीक प्राणी आशिल्ल्यान एकमेकाचें सूख दुख्ख वाडटात.,Positive
पूण हाच्या अभावसूचक बिंदुचेरय ध्यान दिवपाची गरज आसा.,Negative
कम्पोस्टांत मुखेल रुपांत गंवाच्या भुश्या खेरीज रासायनीक सारे मेळयतात.,Positive
"कालाढुंगी तीस किमी पयस आसा , जाल्यार कॉर्बेट घसघसो मदीं पडटा.",Neutral
"पाचक द्रव्य, ग्लुकोज वा उदक लेगीत न्हय, मागीर कितलीय गरमी आसूं वा शीं.",Negative
भारताच्या केंद्रशासीत प्रदेशांत दमण आनी दीव हेय वाठार येतात.,Neutral
ह्या जातीचेर गट्ठी कुसपाच्या रोगाचो प्रकोप कमी आसता.,Negative
ह्या काळाचे कारवाये खातीर कसलीच विशेश अशी तयारी ना.,Neutral
पर्वतारोहणा पयलीं चार दीस जाल्यार पर्वतारोह्या खातीर खास कठीण आसतात.,Negative
पूण गरजेचे उपचार केल्ल्यान भविश्यांत जावपी पड्ड्यांच्या इबाडा पसून वाटावं येता.,Positive
संभोग करिनासपा भायर कॉण्डोमुच ह्या दुयेंसां पसून वाटावंक शकता.,Positive
"मोटेपण, वजन आनी धोन वाडिल्ल्यान जिणेचो आदार, काळजाचेर चड पेझ पडटा.",Neutral
ह्या ऑटोक्लेवाक एल पी जी वा वीज हें दोनूय वापरून चलोवं येता.,Neutral
"पंचकर्म उपचारांत वात, पित्त आनी कफ तिनूय दोश पयस वतात.",Neutral
नाकाचे आशिकुशीचो रंग फिको पडिल्ल्यान थंय बुरशेचो संसर्ग लेगीत जावं येता.,Negative
तेच बाराबर तांकां दर्शनीय सुवातांची भोंवडी करपाची खास तयारी केल्या.,Positive
कृशीगत वेवस्था बायलांच्यो समस्या समजून घेवपांत रुची दाखयना.,Negative
"संपादक परंपरेचो पराभव असोच जावक ना, हाचें खर राजनितीक कारण आसा.",Positive
ह्याच आदारार मोजणी केली जाल्यारय किंमत ३०० रुपयांत बसतली.,Positive
हतयाचेर बसून जॉय रायडाची जाल्यार वेगळीच मजा.,Positive
व्हड अर्क काडपाचे पात्रांक वाफेचें जॅकेट वा बंद कुंडल्यांच्या माध्यमांतल्यान गरम करतात.,Neutral
केरळाच्या हेर राना वाठारां परस हांगा खूब उणो पावस पडटा.,Negative
घोड्यासवारीची संद तुमकां जायत्या दोंगराळ स्थळांचेर मेळूं येता.,Positive
गंगेचें उदक पवित्रूच न्हय किटनाशक लेगीत आसा.,Neutral
कुंभस्वामी वा कुंभश्याम मंदीर मुळांत वैश्णव मंदीर आशिल्लें.,Positive
हें दुयेंस चड करून जिन्सांत असामान्यतायेक लागून बडीचें आसता.,Negative
ह्या पिकेचे चड उत्पादन हाडपा खातीर चड पोशक तत्वांची गरज पडटा.,Positive
हाचे एकाच बरोबर खुबशें फायदे जातलें कारण भारतांतय लोकसंख्या गतीन वाडटा.,Positive
"हालीं कृत्रीम तरेचे पॉलिथीन, फायबर ग्लास वा काँक्रीटाच्या तळ्यांचे प्रयोग करतात.",Negative
सुवसन्तक वा मदनोत्सव हे उत्सव माघांतल्या शुक्ला पंचमेच्या तिथीक मनयतात.,Positive
खरें म्हटल्यार ह्या क्षेत्रांत मागणी आनी पुरवणेंत खूब अंतर आसता.,Positive
ऊस लेगीत भारताचे म्हत्वपूर्ण नकद पिकांतलो एक.,Positive
जाका लागून तांच्या रगतांत हिमोग्लोबिनाचें प्रमाण उणें जातां.,Negative
देवूळ भव्य भवनां आनी कांय रूख हांणी घेरलां.,Positive
अर्दी वाटी अन्न भुरग्याक दोन तीन फावटीं खावोवचें.,Negative
"तुमच्या घरांत, उद्‍देगीक एककांत, कार्यालयांत, बी चडांत चड तुळशीचे रोंपे लायात.",Neutral
रेपसीड ऑयल वा सांसवाचें तेल हाचें रोंपटें कोबीच्या कुळांतलें आसता.,Neutral
हाची स्थापना प्रसारण उद्देगाच्या पांवड्यार जातली.,Neutral
बँक जैवीक आनी कृत्रीम सार्‍यां भितर अंतर दवरिनात अशें ताणें स्पश्टीकरण दिलां.,Neutral
राज्यांत प्रोटेक्टेड कल्टिवेशन म्हळ्यार संरक्षीत शेतीची खूब शक्यतायो आसात.,Neutral
म्हान नाटककार जावपा बरोबर धर्मवीर भारती लोकप्रीय कादंबरीकार आनी मुखेल कथाकार आसा.,Positive
"बर्गर, फ्रेंच फ्रायज म्हारग आसाच वांगडा मोटेपण लेगीत वाडयता.",Negative
ह्या तेलांत बुरशींक आनी बॅक्टिरियाक नश्ट करपाचें लेगीत गूण आसात.,Negative
एनिमा निसर्गोपचाराच्या चिकित्सेच्या क्रमाची कल्पना करूंकच शकना.,Neutral
दोनूय वटेंतल्यो ट्रेनी येवन आर पार उब्यो रावताल्यो.,Neutral
हांगाच ज्योतिसर नांवांची गीता उपदेशाची सुवात आसा.,Neutral
अली पर्वतमाळेक एलिशन नॅशनल फॉरेस्ट रिक्रिएशन एरिया ह्या नांवान वळखतात.,Neutral
चड पिरायेर गर्भधारणेंत लेगीत गर्भघात जावपाची शक्यताय वाडटा.,Positive
हे कुडकुड्याचे थंडेंत पांयांचीं बोटां मुयेवंक लागतात.,Negative
कांय विद्वान नाटकांची सुरवात खामसुत्र्याच्या अभिनया सावन अशी मानतात.,Neutral
"एक नियमीत जिणेपद्‍दत, व्यायाम आनी योग तुमचे जिणेंत म्हत्वाचीं करात.",Neutral
अळसांद्यान आशिल्लें फायबर रगतांतल्या साकरेच्या थराचेर नियंत्रण दवरपाक मदत करतात.,Neutral
हाचो सारको वापर करपाचे पद्दतीचें गिन्यान आसप गरजेचें.,Neutral
