English,konkani,Sentiment
The inside clothes will be colder than wet.,भितरलें लुगट वलें जाल्ल्यान चड शीं खातलें.,Neutral
Its aroma is as frantic as that of mild lemon.,हाचो परमळ हलक्या लॅमना सारको आसता.,Positive
Such as loss of vision and muscles etc.,जशें नदर आनी पेशींपुंजूल्यांचें दुबळें जावप बी.,Neutral
The remaining white water is cooked while cooking rice.,निवळ म्हणल्यार शीत रांदतना उरिल्लें उदक.,Neutral
"It is encamped inside Biyaban or forest, camps are organized.",जातूंत रानवटी वाठारांत वा राना भितरूच तळ ठोकतात आनी तंबू घालतात.,Neutral
Beans in the plains are broken from November to February.,मैदाना आशिल्ल्या वाठारांनी सांगांक नोव्हेंबर ते फेब्रुवारी मेरेन काडटात.,Negative
Did not echo the violent Bolshevik revolution in their literature.,ताच्या साहित्यांत हिंसक बोल्शेवीक क्रांतीची अनुगुंजय मेळूंक ना.,Negative
Summer Hill is a scenic suburb with shady trails.,समर हिल सावळेच्या पांयवाटांचें दर्शनीय उपशार आसा.,Negative
"Child, are ear, holding very attractive jewelery arm and wrists.","केस, कान, हात आनी मनगट हांचेर खुबच आकर्शक अळंकार घातिल्लें आसतात.",Positive
River Rafting is done in many rivers in our country.,आमच्या देशांत कितल्याश्याच न्हंयांनी रिवर राफ्‍टींग करतात.,Positive
Assam and is across the farm in South India.,आसाम आनी दक्षीण भारतांत हाची कृशी वर्सभर करतात.,Neutral
Water keeps on boiling in a small pool here.,हांगा एका ल्हानश्या कुंडांत उदक सतत खतखतत आसता.,Negative
Himvad remains afraid of slipping on Gopalaswamy's mountain path.,हिमवाद गोपालस्वामीच्या दोंगराळ रस्त्यार निसरपाचो भंय आसता.,Negative
Use in diarrhea and bloody dysentery definitely brings relief.,हागवण तशेंच रक्ताचे हागवणेंत वापर केल्ल्यान खात्रीन सुसेग मेळटा.,Negative
Part of this broken glacier is called ice fall.,ह्या फुटिल्ल्या हिमखड्याच्या भागाक आयस फॉल म्हणटात.,Negative
Telugu film 'Eegawas named in the Best Special Effects.,तेलगू सिनेमा  ईगान  सर्वश्रेश्ठ विशेश प्रभावाची उपाधी आपल्या नांवार केली.,Positive
Christianity had also reached Kerala in the first century CE.,क्रिस्ताच्या पयल्या शेंकड्या मेरेन केरळांत क्रिस्तांव धर्म पाविल्लो.,Positive
Skin cancer is treated by cutting the cancerous skin.,कातीच्या कॅन्सराचेर उपचार कॅन्सर जाल्ली कात कापून करतात.,Negative
Kochi's Dutch Palace and Willingdon Islands are worth visiting.,कोचीक आशिल्ली डच पॅलेस आनी विलिंग्डन जुवें ह्यो पळोवपा सारक्यो सुवातो.,Positive
"Nevertheless, a large amount of these can be cut.",तरी लेगीत हातूंत व्हड प्रमाणांत उणाव करूंक शकतात.,Positive
"In fact, this agent inhibits the excessive production of melanin.",खरें म्हणल्यार हो एजेण्ट मेलॅनिनाचें चडांत चड उत्पन्न थांबयता,Negative
There are at least four women among them.,हातूंत उण्यांत उण्यो चार बायलो आसतात.,Negative
This method has several advantages over traditional surgery.,पारंपरीक ओपेरासांवाच्या मानान ह्या उपायाचे जायते फायदे आसात.,Neutral
Hope to be available soon in our country too.,"आशा करता, रोखडेंच आमच्या देशांतूय मेळटलें.",Positive
"In the common language, Mukhimath is known as Mukhba.",मुखिमठाक सादे भाशेंत लोक मुखबा ह्या नांवान वळखतात.,Negative
The beauty here makes us crazy about nature.,हांगाचें सौंदर्य आमकां सैमाचो मोगी करता.,Negative
What are the common diseases of thoracic spine?,थोरॅसीक स्पायनाचीं सादीं दुयेंसां कसलीं ?,Negative
Bile also destroys evil bacteria that harm the body.,कुडीक लुकसाण करपी वायट जिवाणुंकूय पित्त काबार करता.,Negative
Stale food should not be eaten in this season.,ह्या मोसमांत भेळशेल्लें जेवण जेवंक जायना.,Negative
"Due to this temple, this town was named Kalika ji.",ह्याच देवळाक लागून ह्या गांवाक नांव कालिकाजी पडलें.,Neutral
When the use of contraception is not good.,गर्भनिरोधकाचो उपेग केन्ना सारको आसना.,Negative
Do not be negligent if you have a persistent cold.,सेगीत बारखूण उरतकच बेपरवाय करची न्हय.,Negative
"After October, the weather of Jammu starts to get cold.",ऑक्टोबरा सावन जम्मूचे हवामान थंड जांवक लागता.,Negative
Ribs fracture in about 70 percent of chest injuries.,हड्ड्याच्या सुमार 70 प्रतिशें दुखापतींनी बरयांनी फ्रैक्चर जाता.,Neutral
There are small markets in Chini and Kalpa villages.,चिनी आनी कल्पा गांवांनी ल्हान ल्हान ल्हानबाजार आसात.,Negative
"Unfortunately, the government is moving in the opposite direction.",सरकार उरफाट्या दिकेंत चलता हें आमचें दुर्भाग्य.,Negative
Many people expect snoring or are unaware that they snore.,खूबशे लोक घोरेवपाची उपेक्षा करतात वा ते घोरेतात हे गजाली पसून ते अनभीज्ञ आसतात.,Positive
Researchers say they doubt that this cancer disappears.,सोद करप्यांचें म्हणणें आसा की ह्या गजालीक घेवन दुबाव आसा की हो कॅन्सर गायब जाता.,Neutral
Pneumonia disease usually lasts for 5 to 7 days.,न्युमोनिया दुयेंस चडशें 5 ते 7 दिसां मेरेन आसता.,Negative
Nitric Acid-6: The anus bursts due to hard stools.,नायट्रिक एसीड 6 : भोंक घट्‍ट गुवाक लागून पिंजता.,Negative
"Sammed Shikharji, world famous pilgrimage place of Jains -","सम्मेद शिखरजी , ही जैनांची संवसारभर फामाद अशी तीर्थ सुवात.",Positive
It is not that losing weight is a difficult task.,अशें न्हय की वजन उणें करप हें एक कठीण काम.,Negative
Treatment at the right time also cures sunburn.,योग्य वेळार उपचार करून घेतल्यार कात करपप बरी लेगीत जाता.,Positive
The production of micronutrients in acid-sulfate soils is affected.,एसीड सल्फेट मातयेंत सूक्ष्म पोशक तत्वांच्या विखारीपणाक लागून उत्पादन प्रभावीत जाता.,Neutral
"To prevent this, spraying of phosphomidan .3% solution.",हाचें निवारण करपा खातीर फास्फोमिडान ०.३ प्रतिशें घोळिल्ल्या द्रवाची शिंपडावणी करपाक जाय.,Neutral
Irrigate only when there is no rain on rainy days.,पावसाच्या दिसांनी पावस झडुना जाल्यार शिंपणावळ करची.,Neutral
Now what do we mean by 'brain dad'?,आतां  मेंदू मरण  हाचे कडेन आमचो संबंद कितें ?,Negative
Kautilya final authorization of economics are given prescriptions by many.,अर्थशास्त्रांत शेवटच्या अधिकरणांत कौटिल्यान खुबशें उपाय दिल्यात.,Positive
"Sasakasana removes mental illness, stress, anger, irritability, anger etc.","शशकासन मानसीक दुयेंस, ताण, तिडक, किरकीर, राग, बी पयस करता.",Negative
Saliva also destroys the bacteria that cause bad breath.,ज्यो बॅक्टेरिया स्वास घाणयारो आनी बुरसो निर्माण करतात तांकां लाळ नश्ट करता.,Negative
Both these procedures are painless and hundred percent successful contraception.,ह्यो दोनूय प्रक्रिया दुखी विरयत आनी शंबर प्रतिशें सफळ गर्भनिरोधक..,Positive
Suck lemon with salt and keep feet warm.,लिंबाचेर मीठ लावन चोखात आनी पांय गरम दवरात.,Positive
Rain will prove beneficial in gardens common waiting blossom.,चंवराची वाट पळोवपी आंब्याच्या बागेंत पावस लाबदिणो सिद्ध जाता.,Negative
"Many of the readers, we mean thirty forty.","पाठक , खूबशे आमचें मत तीस चाळीस इतलें आसा.",Neutral
Varieties of unbelievable flowers can be seen in them.,जातूंत वेगळ्यावेगळ्या फुलांच्यो तरा पळोवं येतात.,Negative
Exercising unnecessarily often has harmful effects on the body.,गरज नासतना व्यायाम केल्यार खूब फावटीं कुडीचेर वायट परिणाम जाता.,Negative
Naymalji's mansion was built in the eighteenth century.,नयमलजीच्या वाड्याची निर्मणी अठराव्या शेंकड्यांत जाल्ली.,Neutral
Local physician and herbal therapists also claim these plants.,स्थानीय वैज आनी हर्बल दोतोर लेगीत हे वनस्पतींची मागणी करतात.,Neutral
Food should not be eaten too hot nor too cold.,जेवण चड गरम आनी चड थंड जेवचें न्हय.,Neutral
"Epicac-3,30,200: If the patient feels sick with blood secretion.","इपिकाक-3, 30, 200 : जर रक्तस्राव जातना दुयेंतीचो जीव सकयलवयर जाता.",Negative
Cultivation is more extensive here than in the United States.,संयुक्त राज्य अमेरिकेचे तुळेंत हांगाची शेती चड विस्तीर्ण आसा.,Positive
Self 0 Kudu Singh large famous Pkhavji your time.,स्व. कुदऊ सिंह ताच्या वेळा वयलो खूब फामाद पखवाजी आशिल्लो.,Positive
Laser rays first break the pigments under this process.,हे प्रक्रियेंत लेझराचीं किरणां सगल्यांत पयलीं पिगमॅण्ट फोडटात.,Positive
Worm It is a common disease in children.,दंतांची पिडा ही भुरग्यां मदीं सर्वसामान्यपणान आसता.,Negative
"In millet and madua, albedo is higher than sorghum.",बाजरी आनी ज्वारींत एलबीडो ज्वारीच्या तुळेंत चड आसता.,Positive
This Buddha statue weighs 5 and a half tons.,बुद्धाचे हे मुर्तेचें वजन साडे ५ टन आसा.,Neutral
Chittari is the perfect place to spend time in peace.,शांततायेन वेळ घालोवपाक चित्तारी योग्यशी सुवात.,Positive
Kullu Valley of Gods has its own unique charm.,कुल्लू दैवतांच्या घांटींचें आपलें एक वेगळें आकर्शण आसा.,Positive
Water chestnut increases semen and makes it strong.,सिंघाडा विर्यांत वाड करून तें घटमूट करता.,Positive
The vegetative growth is long to be cold weather.,हाच्या वानस्पतीक विकासा खातीर लांब थंड रुतू आसप गरजेचें.,Negative
Such as suddenly becoming unstable or becoming unconscious.,जशें अचानक आरीचें जावप वा बेशुद्ध जावप.,Positive
Water should not be drunk in between meals.,जेवतना मदीं उदक पियेवचें न्हय.,Negative
If the blood flow in your legs is relaxed.,जर तुमच्या पांयांत रक्‍ताची व्हांवणी मंद आसत.,Neutral
Panchavati is also located near the mythological cave.,पुराणीक होंवर्‍यां लागींच पंचवटीय आसा.,Neutral
Vikramashila is connected by road Kahalgaon (10 km).,विक्रमशिला हें कहलगांव ह्या धा किलोमिटर अंतराचेर आशिल्ल्या रस्त्याक जोडलां.,Neutral
The weather is very pleasant from November to February.,नोव्हेंबरा सावन फेब्रुवारी मजगतीं हांगाचो मोसम खूब मनभुलयणो आसता.,Positive
"If your baby has a cold, follow some home remedies.",बाळकाक थंडी जाल्यार घरगुती उपाय आपणायात.,Negative
Bath having had the body wiped on delicate garments finished.,न्हावन जातकच कोमल कपड्यान आंग पुसतालें.,Negative
Taromeis the name of the airline service of Romania.,तारोम  रोमानियाचें विमान सेवेचें नांव.,Neutral
"His lifestyle bear, Vstrabrn, nature etc. These were very familiar.","तांची जिणेपद्दत, भेस, स्वभाव बी हाचे कडेन हे बरे तरेन परिचीत आशिल्ले.",Positive
The umbilical hernia is associated with the abdomen.,अम्बिलिकल हर्निया पोटा कडेन संबंदीत आसता.,Neutral
Bacheli ore is considered to be of good grade.,बचेलीच्यो खणी बर्‍या दर्ज्याच्यो अशें मानतात.,Positive
After ten minutes wash your face with cold water.,धा मिणटां उपरांत मुखामळ थंड उदकान धुवचें.,Negative
Baba Badolia is an attractive stoppage on the way.,वाटेर बाबा बडोलिया आकर्शक स्टॉपेज आसा.,Positive
Shalimar and Nishat Bagh are much larger gardens than Chashmeshehi.,शालिमार आनी निशात बागो चश्मेशाहीच्या तुळेंत व्हडल्यो बागो आसात.,Neutral
Then too much money to too many features.,चड सुविधा खातीर चड पयशे जाय.,Positive
"In Belladonna fever, the skin of the face is red.",बेलाडोनाच्या जोरांत तोंडाची कात तांबडी जाता.,Neutral
Stretching in the leg muscles is also very painful.,पांयांच्या मासपेशींनी जावपी ओडणीय जायती त्रासाची आसता.,Negative
It is also important to take care of food.,वांगडाच खाणा जेवणा कडेन लक्ष दवरप गरजेचें.,Positive
The anus is much higher than the intestine.,भोंक आंतकड्या परस खूब उंच आसता.,Positive
The adult needs 1 mg of iron per day.,जाण्टे व्यक्‍तीक दर दिसा 1 मिलीग्राम लोहाची गरज पडटा.,Neutral
A short distance away is the Yaksum base for Bakkakhim.,मातशें मुखार बक्कखिमा खातीर याकसूम तळ आसा.,Negative
"If water is called nectar, it will not be exaggerated.",उदकाक अमृत म्हणल्यार अतिताय जावचीना.,Negative
I would love to name Goa without losing a moment.,हांव वेळ वगडायनासतना गोंयचें नांव घेवप पसंत करतलें.,Positive
"Our body cannot produce calcium, it is absorbed by food.","आमची कूड कॅल्शीयम तयार करूंक शकना, तें ती अन्नांतल्यान सोकून घेता.",Positive
"Therefore, the Himalayas are considered the most treacherous mountains.",हे खातीर हिमालयाक सगल्यांत धूर्त दोंगर मानतात.,Positive
To prevent any mental patient from being sick again.,खंयच्याय मानसीक रोग्याक परत पिडेस्त जावपा पसून वाटावप.,Negative
"Due to this, he can start intoxicated again in anger.",हें चालू आसतना ताच्यान रागान परत नशा सुरू करूं येता.,Negative
Cultural program on 23 and fair on 24 concluded.,२३क सांस्कृतीक कार्यावळ आनी २४क जात्रेचो समारोप जालो.,Positive
Ramayana Mahabharata and mythological scenes are engraved in these temples.,"ह्या देवळांनी रामायण , महाभारत , आनी पुराणीक काळांतले देखावे काडल्यात.",Neutral
Life is not fair get used to it,"जिवीत न्याययुक्त ना, ताची संवय लावन घेयात.",Negative
Iris Tenax 3 30 Terrible pain in left stomach.,"आयरीस टेनॅक्स 3, 30 : पोटांत दावे वटेन खर दूख.",Negative
"Alumina-6,30: Stool does not come out easily, it is forced.","आलुमिना-6, 30 : गू सोंपेपणान भायर सरना, नेट करचो पडटा.",Negative
6 hours of sleep is sufficient for a healthy person.,एके भलायकेवंत व्यक्ती खातीर ६ वरांची न्हीद फावोशी आसता.,Positive
There is the famous Parashuram Kund near Brahmkund.,ब्रह्मकुंडा लागींच प्रसिद्ध परशुराम कुंड आसा.,Positive
Safety cover provides protection against all kinds of negative waves.,सुरक्षा कवच व्यक्‍तीचें सगल्या तरांच्या न्हयकारी ल्हारां पसून सुरक्षा करता.,Negative
The journey should be completed in Puri via Kedarnath.,यात्रा केदारनाथा सावन सुरू जावन पुरीक पूर्ण जावपाक जाय.,Neutral
Except 'Urvashiis bursting with most of Dinkar G. compositions Heroic.,उर्वशीक  सोडल्यार दिनकराची चडशी रचना वीर रसांत पूर्ण प्रभावीत आसा.,Positive
"During this period, international travel was almost at a standstill.",हे मजगतीं कांय म्हयने आंतरराष्ट्रीय प्रवास सुमार बंद उरलो.,Neutral
Transplantation is a very time sensitive procedure. '',प्रत्यारोपण एक खूब वेळाची संवेदनशील प्रक्रिया.,Neutral
The patient feels slow pain in place of kidney.,दुयेंतीक मुत्रपिंडाचे सुवातेर मातशें मातशें दुखता.,Negative
Many infectious diseases cause malaria or dysentery in the liver.,कांय संसर्गीक दुयेंसां मलेरिया वा हागवण हांकां लागून फिग्दाक सूज येता.,Positive
There was a huge crowd outside Malguzar's house.,हमाल्याच्या घरा भायर खूब गर्दी पडिल्ली.,Positive
The most visited place of Thailand is Chiang Mai.,थायलॅण्डाची सगल्यांत चड भोंवतली सुवात चियांग माय.,Positive
Vadodara city was established in the first century.,वडोदरा शाराची स्थापना पयल्या शेकड्यांत जाल्ली.,Positive
In many areas these termites are also called brown ants.,कितल्याश्याच वाठारांनी हे वाळटेक तपकिरी मुयो लेगीत म्हणटात.,Positive
Leprosy is a contagious disease caused by a bacterium.,कुश्टरोग हो एका जंतू पसून जावपी संसर्गीक रोग.,Neutral
This is the last stop of the Hindustan-Tibet Road.,हो हिन्दुस्तान तिबेट रस्त्याचो निमाणो पांवडो.,Neutral
But until then had been the black car there.,पूण तेन्ना म्हटल्यार काळी गाडी थंयच्यान गेल्लीं.,Neutral
So the first experiment which he used to own.,देखून सगळ्यांत पयलीं हाचो प्रयोग ताणें स्वता केलो.,Positive
Small farmers will be associated with agricultural science centers.,ल्हान शेतकारांक कृषी विज्ञान केंद्रा कडेन जोडटले.,Negative
Nature tries to remove the dirt present in the body.,कुडींत पसरिल्ली घाण काडपाचो सैम येत्न करीत रावता.,Neutral
Legumes are also a good source of minerals and vitamins.,"सांगो, खनीज आनी विटामीन्स हांचो लेगीत बरो स्रोत आसा.",Positive
There can be many types of diseases in it.,हातूंत कितल्याश्याच तरांचीं दुयेंसां जावं येतात.,Positive
The royal palace was designed by a French architect.,शाही महालाचो आराखडो एका फ्रॅन्च वास्तुकारान तयार केल्लो.,Neutral
These people themselves have great reverence for this pool.,ह्या लोकांक लेगीत ह्या कुंडाचे बाबतींत खूब श्रद्धा आसा.,Positive
Internet and cellphone facilities are also available if needed.,गरज पडल्यार इण्टरनॅट आनी सॅलफोनाचींय सोंपेपणां मेळटात.,Positive
Similarly 4 more pons originate from the mid-brain.,अशेच तरेन आनीक चार पोंस मीड ब्रेनांतल्यान भायर सरतात.,Positive
Treatment of this infection is necessary before sterilization.,नसबंदी करचे पयलीं ह्या संसर्गाचो उपचार गरजेचो.,Neutral
Symptoms: Abdominal abscess can occur due to many reasons.,लक्षणां : पोटाक फोड कितल्याश्याच कारणांक लागून येवं येता.,Neutral
Many varieties of pomegranates are found in India.,भारतांत डाळिंबाचे जायत्यो तरा मेळटात.,Positive
Such a woman remains unhappy all the time.,अशी बायल सगलो वेळ दुख्खी उरता.,Negative
Jamnagar is characterized by its developing present and glorious past.,जामनगराचें खाशेलेपण ताच्या विकासशीळ वर्तमानाक आनी गौरवपूर्ण भूतकाळाक लागून आसा.,Neutral
Gogak and Amboli falls are also popular for tourism.,गोगाक आनी आंबोली घोगो लेगीत पर्यटना खातीर लोकामोगाळ आसा.,Positive
"A patient with weak heart, heartbeatis wrapped in a heart.","अशक्त काळजाचे, काळजाच्या धडधडाच्यापिडेस्तांक काळजाची गुटलावणी दितात.",Negative
Their common depth is 3 or 4 feet.,हांची सादारण खोलाय ३ वा ४ फीट आसता.,Negative
This medicine is ready in fifteen or twenty days.,हें वखद पंदरा ते वीस दिसांनी तयार जाता.,Neutral
At one time this section was famous for great hunting.,एका काळार हो भाग म्हान शिकारी खातीर प्रसिद्ध आशिल्लो.,Positive
The maji moto has glasses of hot water.,माजी मोटोक गरम उदकाचे झरे आसात.,Positive
Keep showing the doctor from time to time.,वेळावेळार दोतोराक दाखयात.,Neutral
Continuous drinking of pomegranate juice destroys the stomach worms.,डाळिंबाचो रोस नेमान पिल्यार पोटांतल्या दंताचो नाश जाता.,Neutral
The entire island is transformed into a hotel.,पुराय जुंव्याचें एका होटॅलांत रुपांतरण केलां.,Neutral
"In heart failure, the heart rate of the patient increases.",ह्रदयान्तर्वेश्टनाचे सुजींत दुयेंतीच्या काळजाची धडधड वाडटा.,Negative
"Problems like runny nose, sneezing, sore throat are very common.","नाक व्हांवप, शिंको येवप, गळ्यांत खरखरप सारकिल्यो समस्या खुबूच सामान्य आसात.",Negative
The far-flung velvet plain is surrounded by cedar forest.,पयस पयस पातळिल्लें मखमली मळ देवदारांच्या रानान वेश्टलां.,Negative
It is a good source of sugars and vitamin-A.,हो साकर आनी विटामीन एचो बरो स्रोत आसा.,Positive
The right leg remained between the two hands.,उजवो पांय दोनूय हातां मदीं आसचो.,Positive
Sleep is a very pleasant feeling in itself.,न्हीद आपले भितर एक पूर्ण सुखाचो अणभव.,Positive
Also focus designer Siddhartha Taitlr the woman's personality 'Dark Side'.,बायलेच्या व्यक्तित्वाची  डार्क सायड  हाचेर डिजायनर सिद्धार्थ टायट्लराचोय फोकस आशिल्लो.,Neutral
"On reaching Amarkantak, a long series of temples are visible.",अमरकंटक पावतकच देवळांची लांब माळ दिश्टी पडटा.,Neutral
"For this, you should do meditation or breathing exercise.",हाचे खातीर तुमी मेडिटेशन वा ब्रिदिंग एक्सरसायज करूंक जाय.,Neutral
Arambol Beach is about 50 km from Panaji. is far.,हरमल दर्यावेळ पणजे सावन सुमार ५० कि.मी. पयस आसा.,Neutral
Successful production of animal husbandry both the well.,सफळ उत्पादन पशुपालन दोनूय बरोबरच आसता.,Positive
A person can also be violent due to intoxication.,नशे खातीर व्यक्ती हिंसात्मक लेगीत जावं येता.,Negative
There are more religious places in Bhavnagar district.,भावनगर जिल्ल्यांत आनिकूय कांय धार्मीक सुवातो आसात.,Positive
It becomes difficult to stop with the complaint of diarrhea.,हागवणीची कागाळ आशिल्ल्यान थांबप कठीण जाता.,Negative
Karkir Meda (Afara) originates from the pathology of digestion.,अफाराची उत्पत्ती पचनक्रियेचे विकृताये पसून जाता.,Neutral
Poor had to pay a lower fee for the baths.,गरिबांक न्हाणीघरांत वचपा खातीर कमी शुल्क दिवचे पडटाले.,Negative
"In ancient times, oil was a staple in everyday use.",पोरण्या काळार तेल दीसपट्ट्या उपेगी वस्तूं मदीं मुखेल आशिल्लें.,Neutral
"Fenugreek, celery, bathua, nutmeg etc. are effective in keeping warm.","मेथी, वोवों, बथुआ, जायफळ, बी गरम दवरपांत फायद्याचें आसतात.",Positive
But the hormone therapy can be re-sized large if taken.,पूण हार्मोन थेरेपी घेतकच परत आकार व्हड जावं येता.,Positive
Fats in fruits and vegetables are useful for the body.,फळांनी आनी भाजयांनी जावपी चरबी कुडी खातीर उपेगी आसता.,Positive
Many cities have facilities in adventure parks or sports complexes.,कितल्याश्याच शारांनी एडवॅञ्चर पार्कांनी वा खेळां प्रकल्पांनी हाची वेवस्था आसता.,Positive
Akbar used to do Suryopasana every day at sunrise.,अकबर दर दिसा सुर्योदया वेळार सुर्याची उपासना लेगीत थंय सावनूच करतालो.,Neutral
Also massage mustard oil prepared from sun charged green bottle.,वांगडाच सुर्यान चार्ज केल्ले पाचवे बाटलेन तयार केल्ल्या सांसवांच्या तेलान मालीश करची.,Neutral
The patient of eosinophilia also has many benefits.,योझोनोफिलियाच्या दुयेंतिकूय खूब लाब जाता.,Positive
Isolated in Kamasutra put Balopyogi is mentioned many toys.,कामसुत्रांत सादारण बालोपयोगी खूब खेळण्यांचो उल्लेख जाला.,Positive
Low wages have bad absence on health and performance.,कमी दिसावडो आशिल्ल्यान तांचें स्वास्थ आनी कार्यक्षमतेचेर वायट परिणाम जाता.,Negative
A terrible destroyer organism does not invade the crop.,ह्या पिकांक लागून खंयचीय भयानक नाशक जीव आक्रमण करना.,Negative
Shiney Ahuja's first film and he was respected for it.,शायनी आहूजाचो हो पयलो सिनेमा आशिल्लो आनी ताका हाचे खातीर सन्मान मेळ्ळा.,Positive
"Another attractive Bugyal is Quarry, 15 kilometers from Auli.",औली सावन 15 किलोमिटरांच्या अंतराचेर आनीक एक आकर्शक बुग्याल आसा क्वारी.,Positive
"Dakshineswar Kali Temple is situated on a lush, green field.",दक्षिणेश्वर काली देवूळ पाचव्याचार मळार आसा.,Neutral
Sheesh Mahal is called the court of Fidai Khan.,शीश महालाक फिदायी खान हाचो दरबार म्हणटात.,Neutral
Due to which the glow of the skin remains intact.,जाका लागून कातीची चकचकसाण सदां खातीर उरता.,Neutral
The trip was short anguish of his mind.,ह्या भोंवडेंतूच ताच्या मनांतलो संताप उणो जालो.,Neutral
There is also 'Chota Shigdi Glacierin this direction.,हेच दिशेंत  छोटा शिगडी हिमखडोय  आसा.,Neutral
The life of children with asthma becomes very painful.,दम्या वांगडा भुरग्यांची जीण खूब त्रासांची जाता.,Negative
"Small Pippali, turmeric, etc. should be consumed in milk.","दुदांत ल्हान मिरयां, हळद, बी घालून सेवन करपाक जाय.",Negative
What type of food is appropriate for your baby?,बाळका खातीर योग्य अन्न कशे तरेचें आसचें ?,Positive
"Of course, were convinced the Bolshevik revolution began Premchand.",निश्चीतूच प्रेमचंद सुरवातेक बोल्शेवीक क्रांतीचो समाधानी जाल्लो.,Neutral
Remember not to fill the bottles to the top.,बाटल्यो वयर मेरेन पुराय भरच्यो न्हय हें मतींत दवरचें.,Positive
This electronic device can also be called micro mic.,ह्या इलॅक्ट्रॉनीक उपकरणाक सुक्षीम मायक लेगीत म्हणूं येता.,Neutral
It is counted among the world's most unique nature parks.,हाका संवसारांतल्या सगल्यांत आगळ्या सैमीक पार्कांनी मेजतात.,Positive
The Mahalakshmi temple is also decorated with beautiful carvings.,महालक्ष्मीचें देवुळूय सोबीत नक्षीकामान सजयलां.,Positive
Layers of ice are formed on this hard ice.,ह्या घट बर्फाचेर थर धरपाक लागतात.,Negative
In how many times the medicine can cross the canary.,वखद कितल्या वेळांत कनारी हुंपूंक शकता.,Positive
An outbreak of cough is seen more at night.,रातचें न्हिदपा वेळार खोंकलेचो उद्रेक चड दिश्टी पडटा.,Positive
Malaria is transmitted by a mosquito called the female anaphylase.,एनाफिलीस नांवाच्या मादी जळारा वरवीं मलेरिया पातळटा.,Neutral
"Small carbohydrates are raffinose, lactose, fructose and sarbitol.","ल्हान कार्बोहायड्रेट म्हणल्यार रॅफिनोज, लॅक्टोस, फ्रुक्टोस आनी सार्बिटॉल.",Negative
It is so powerful platform is clear that farce public.,हाचे पसून स्पश्ट जाता की सवंग हें लोकांची कितली सशक्त माची आसा.,Neutral
Plantation work is generally done in northern India in June-July.,उत्तर भारतांत सामान्यतायेन रोंप्यांची रोंपणेचें काम जून जुलायांत करतात.,Neutral
"And yes, America is less expensive than European countries.",आनी हय येवरोपीय देशांचे तुळेन अमेरिकेंत उणी म्हारगाय आसा.,Negative
"In any campaign, there are many types of challenges.",खंयचेय मोहिमेच्या सातत्याक कितल्याश्याच तरांच्या आव्हानांक तोंड दिवचें पडटा.,Positive
Puttiya Buy from a reliable institution for sowing.,पेरणे खातीर पुत्ती खंयच्याय विश्वसनीय संस्था कडच्यान विकत घेवचे.,Neutral
"If you practice yoga regularly, these diseases can never happen.",जर सद्‌दां योगाभ्यास करीत जाल्यार हीं दुयेंसां केन्नाच जावं शकना.,Neutral
Take medicines or syrup that are sugar free.,"तीं वखदां आनी शारोपां घेयात, जातूंत साकर नासता.",Positive
Meaningful established right to learn in a democracy is important.,लोकशायेंत जाणा जावपाच्या अधिकाराची सार्थक स्थापना महत्वाची आसा.,Positive
Lobar pneumonia is less common in developed countries.,विकसीत देशांनी लोबार निमोनिया उणी पळोवपांत मेळटा.,Neutral
"However, some small trees are also seen on some hills.",हरशीं चिरपुटे अवस्थेंत कांय ल्हान रूख लेगीत कांय दोंगुल्ल्यांचेर पळोवपाक मेळटात.,Negative
Linseed is considered a divine food in Ayurveda.,आयुर्वेदांत सणबियांक दैवीक अन्न मानलां.,Neutral
The Gomukh glacier is slowly retreating into the melt.,गोमुख हिमनदी ल्हव ल्हव विरगळटना फाटीं सरता.,Negative
Applying this medicine on white stains is of great benefit.,हें वखद दागांचेर लायिल्ल्यान खूब फायदो जाता.,Positive
Only the policy of mechanization can make the country happy.,मशिनीकरणाची नितीच देशाक सुखी करूंक शकता.,Positive
"Otherwise, there is unnecessary pressure on the eyes.",नाजाल्यार दोळ्यांचेर बेठोच ताण येता.,Negative
Parashurama of the Ramayana period was also born in Hastinapur.,रामायण काळा वयले परशुरामूय हस्तिनापूरांत जल्मल्ले.,Neutral
Maharana Pratap Singh is a small airport in Udaipur.,महाराणा प्रताप सिंह हें उदयपूरांतलें एक ल्हानशें विमानतळ.,Negative
Skin cancer is usually spread through lymph vessels.,कातीचो कॅन्सर चड करून लाळेच्या शिरेंतल्यान पातळटा.,Negative
Marjarasan cures the disease of the exit of the uterus.,पिशवी भायर सरपाचीं दुयेंसां मर्जारासन पयस करता.,Neutral
Binocular: It has a separate small cellinside the abdominal cell.,द्विकोष्‍ठीय : हातूंत पोटाच्या कोश्टा भितर एक वेगळो ल्हान कोश्ठआसता.,Negative
Models show Kanika appeared costumed heavy metal embellishments.,कनिकाच्या शोत मॉडल्स भारी मेटल एम्बेलिशमेंट्साच्या भेसांत दिश्टी पडली.,Neutral
Guggul is used in the treatment of various diseases.,गुगुळाचो उपेग वेगवेगळ्या रोगांचो उपचार करपाक करतात.,Neutral
There are eight ten wooden houses in Gajam Basti.,गेजम वसतेंत आठ धा लांकडांचीं घरां आसात.,Neutral
Blood flow is fine with the use of onions.,कांद्याचो उपेग केल्यार रक्ताचो प्रवाह सारको उरता.,Positive
